song_id,danceability,duration_ms,energy,acousticness,explicit,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
4nKyVhU0VT8pmbnaKQzNOb,0.746,279627,0.500,0.1970,0,0,7,0.194,-8.426,1,0.0669,120.039,0.466
7pQPvZc47B3ztdOCWNnYiY,0.508,177093,0.771,0.0044,0,0,9,0.240,-4.855,1,0.0768,166.009,0.746
4FXj4ZKMO2dSkqiAhV7L8t,0.652,228004,0.581,0.3370,0,0.000101,9,0.086,-8.511,1,0.0353,139.982,0.456
7imETws52ZomXq75WfgUdY,0.303,222467,0.734,0.0875,0,3.62E-05,2,0.685,-5.608,1,0.0386,173.907,0.312
65hUTiykNAiAvmGYXazhFJ,0.260,288436,0.279,0.8450,0,3.94E-05,2,0.105,-11.095,0,0.0399,74.860,0.053
6KVuoJUrhbVgMrqZX5T7Kg,0.844,245440,0.770,0.0422,1,1.38E-06,0,0.197,-8.629,1,0.0787,137.033,0.723
3MpR460YBQfy8WJLQZghuD,0.569,204520,0.944,0.0256,0,0,4,0.243,-3.94,1,0.0727,110.037,0.544
6SdrlZFwXzbO51QtOldqy7,0.274,263991,0.434,0.2060,0,0,1,0.119,-7.654,1,0.0285,83.524,0.118
1LV5G400jD3Ytvyv6Dlkym,0.636,180400,0.802,0.0063,0,4.14E-05,2,0.059,-2.168,1,0.1670,139.815,0.335
2UruEi9ngZapmySLQLNaH5,0.513,192280,0.879,0.0016,0,0,2,0.254,-3.948,1,0.0316,143.063,0.319
6QTBYKLlV2PQniwAWrBV2z,0.913,241827,0.745,0.0002,0,0.00208,1,0.062,-2.837,1,0.0506,127.996,0.795
3IkDh3WMpbvzdGvajrNY3E,0.121,318538,0.971,0.0538,0,0.000118,9,0.419,-17.012,1,0.0709,94.985,0.019
1jmX5Dojaopg8DT05Mw5Ig,0.693,122067,0.497,0.6790,0,0,2,0.258,-7.316,1,0.1190,81.308,0.473
5JeZZtqY0loM9UHQVIChby,0.214,174867,0.182,0.9190,0,0.00465,8,0.113,-13.538,1,0.0368,143.171,0.104
7mf1hxau7AkuXEYbqHrOWh,0.725,324043,0.653,0.1480,0,0.555,6,0.122,-8.094,0,0.0323,119.993,0.166
39QLrOG0qA6ASfkqPZ3yIw,0.817,308085,0.562,0.0341,0,9.98E-06,1,0.058,-7.329,1,0.0523,140.967,0.769
05tn6MGYoFRaXPYQpZmPcc,0.293,203520,0.904,0.0000,0,0,11,0.103,-4.155,0,0.0736,172.168,0.294
0Q2nlEy3j08AWwrum9BFmH,0.792,193960,0.868,0.1950,0,9.41E-06,10,0.038,-2.681,1,0.0514,142.714,0.964
1FTBGFF2CJIEsMdkRMHo6z,0.359,239560,0.983,0.0001,0,3.54E-05,2,0.335,-3.69,0,0.0864,193.042,0.486
5TQ6MARpfdGi3lToty2TH6,0.448,153413,0.889,0.0004,0,6.50E-05,6,0.697,-5.713,1,0.0386,104.800,0.779
5soIZB93fAOG11xJ7OQKrx,0.546,208213,0.891,0.0587,1,5.95E-05,8,0.093,-7.13,0,0.2970,151.180,0.292
1XYX4JnSULbKGCi5uSjeJy,0.436,247013,0.244,0.8700,0,0.000371,0,0.102,-19.096,1,0.0339,145.420,0.359
6NdavLbxlTaCGvB0eOoXZw,0.509,182160,0.992,0.0001,0,0.158,0,0.350,-3.099,0,0.0724,119.957,0.479
129Q7yqxyiAz66mAd9BJgs,0.461,242080,0.710,0.3190,0,4.97E-06,5,0.104,-6.36,1,0.0422,175.825,0.281
2IJkMZVGqcGLJoOwGWg1Ch,0.645,242707,0.338,0.1080,0,4.50E-06,11,0.367,-10.193,0,0.0323,118.738,0.392
688DZF6e1MH5Uf409dwaHm,0.546,273840,0.291,0.7840,0,0.931,7,0.089,-12.252,1,0.1380,169.959,0.363
17Ux4yT9fdJ8VFSPNgxZPC,0.588,180579,0.577,0.1300,0,0,10,0.174,-5.464,1,0.0291,141.976,0.486
7Ld6hA2qsLEXPn39FfuHwb,0.596,159000,0.287,0.7910,0,4.44E-05,7,0.087,-12.618,1,0.0335,115.209,0.349
7J5qgLRRKegrwAMiW5iWzx,0.651,182600,0.697,0.0617,0,0.0166,9,0.091,-8.816,0,0.0398,146.656,0.903
7gdGdDgpCDy2kACTqvXbYa,0.454,248587,0.746,0.0008,0,0,2,0.311,-5.499,1,0.2740,83.509,0.591
0htTZnlk6okQ1HIq4EvFQ6,0.682,210129,0.911,0.1430,1,0,4,0.107,-5.404,0,0.2740,140.079,0.547
0N9sBJBig8ToeFflB5KdsB,0.371,187973,0.860,0.6460,0,0,5,0.442,-1.986,1,0.1100,178.780,0.883
6qUjY7JsuQYxn99qfOAQyB,0.309,232240,0.047,0.9920,0,0.866,3,0.098,-25.497,1,0.0410,72.915,0.069
5d3aH9vQkli5MDoY4kq4ZM,0.595,169000,0.635,0.2070,0,5.44E-05,7,0.105,-6.241,1,0.0266,138.960,0.877
6OaY4KX8ENVogGeMcDrvMx,0.376,131187,0.897,0.0014,0,0,8,0.082,-3.426,1,0.1220,137.079,0.655
57DLMHlHkUdWIecKgpTx8v,0.429,219387,0.638,0.0092,0,0.000261,7,0.511,-4.956,1,0.0277,137.490,0.544
5g3vDbjW1S08XRb2AZ1rkV,0.575,191000,0.491,0.3490,0,0.00378,4,0.139,-10.299,0,0.0559,173.605,0.784
4TsDmh8jtTMdaa7UP3gxAR,0.463,290413,0.895,0.1890,1,0,1,0.732,-3.205,1,0.4810,76.516,0.652
5kzrQy4whV7y9Amu8wKRax,0.573,253480,0.765,0.0011,0,5.74E-05,6,0.114,-6.594,1,0.0305,100.024,0.359
0UUpyDCYzkziXJ1TM4awHM,0.758,248533,0.827,0.0033,0,0.000165,4,0.095,-6.151,0,0.0774,97.515,0.506
2QloUyCqK1enErCSmUniNu,0.730,251653,0.762,0.0169,1,0.0749,11,0.197,-5.383,1,0.3220,79.069,0.744
2mR9L9q35QaSYTQg6KzwYR,0.457,524067,0.866,0.0015,1,0.0103,4,0.063,-4.553,1,0.0406,174.059,0.262
0sT86uFdDw1mfkOGYT01bQ,0.283,296707,0.296,0.6280,0,0,9,0.887,-4.312,0,0.0288,95.284,0.100
